Epoch,Loss,Train AUC,Validation AUC,Test AUC,Precision,Recall,F1 Score
1,0.9655658006668091,0.49959663616447747,0.5071290201028906,0.5095865477124714,0.5097838490971337,0.5798105599694605,0.5425469450813432
2,0.9623931646347046,0.5070979063962645,0.5166392162104789,0.5190866327090347,0.5143113839108242,0.6173454536778565,0.5611379423265013
3,0.9597458839416504,0.5166142989983612,0.5274251106864203,0.530115993740823,0.5190455515073716,0.6560112614224703,0.5795459814935817
4,0.9578722715377808,0.5258206557856822,0.5399703078877603,0.5431069873885411,0.5242366772754357,0.6885357764893947,0.595257101250183
5,0.9562329053878784,0.5368133182864643,0.5533010458860675,0.5569742304907053,0.5299950085567599,0.7093407773244578,0.6066912222346927
6,0.9546231627464294,0.5481323175683882,0.5661075705926996,0.5701743825578454,0.5352464262854705,0.7182592513062773,0.6133928298542132
7,0.952870786190033,0.5588943865385121,0.5781897497073366,0.5824134915630048,0.541834323763156,0.7222389234843605,0.6191632321207596
8,0.950803279876709,0.5691783285425313,0.5897859237092391,0.5940258403515773,0.5485748368789198,0.7241428673681197,0.624249280131633
9,0.9483514428138733,0.5795945213296986,0.6010832165095884,0.605257089763739,0.5547069057962293,0.7256889270632023,0.6287815829622555
10,0.9455582499504089,0.5897092463685149,0.6122149177749349,0.6162860903343881,0.560664520680836,0.7280652780760146,0.6334925607378851
11,0.942456066608429,0.5997765624741946,0.6231796061398848,0.627115076402692,0.566838773104088,0.7318445351084389,0.6388591518201169
12,0.9387763738632202,0.6111286756911553,0.6339393957798787,0.6377281240201634,0.5727259900640859,0.7360484813780928,0.6441966961166529
13,0.934967577457428,0.6216610715126955,0.644429906718305,0.6480672347930958,0.5786726462753058,0.7400901868155465,0.6495026037140877
14,0.9310014843940735,0.6319966926756032,0.6546290466699195,0.6581110895940072,0.5841052505358454,0.7438217259561473,0.6543585351980237
15,0.9265316128730774,0.6433206123885714,0.6644696374413875,0.6678012079124175,0.5898108788879393,0.7475103189941068,0.6593624911082957
16,0.922355055809021,0.6529077295109145,0.6738920622574206,0.6770898545959599,0.5951532996998724,0.7503733925035192,0.6638102434432424
17,0.9176293015480042,0.6639671859112602,0.6828563109339514,0.6859244538111057,0.6007466236400376,0.7533032710614845,0.6684309026395793
18,0.9131550192832947,0.6737361486851687,0.691304960027161,0.6942534534917278,0.606506509953361,0.7564335647651087,0.6732238487771111
19,0.9083682894706726,0.6839122605748775,0.6992146524885776,0.7020490243279982,0.6125652232512467,0.7590675923937681,0.6779925412892914
20,0.9037245512008667,0.6933754100519539,0.7065572501495598,0.7092767096663197,0.618131687019378,0.7606088802996683,0.6820085830299036
21,0.8991405367851257,0.7023769359706327,0.713328426469461,0.7159410725981178,0.6231638462199246,0.7615584663469568,0.6854453036585916
22,0.8942638635635376,0.7119631512663835,0.7195420972981622,0.7220542870860481,0.6284833131402137,0.7623792140863217,0.6889863016061598
23,0.8898804783821106,0.7199749822724607,0.7252145096685112,0.7276300932502026,0.6334621405782455,0.7626846085939923,0.6920931843768944
24,0.8854706287384033,0.7279987405637288,0.7303684734167623,0.7326867854869763,0.6384749309182679,0.7629709159449336,0.6951931877224219
25,0.8810538649559021,0.7358190802767853,0.7350274161345692,0.7372543253955806,0.6429626469511042,0.7623171808269511,0.6975713487267265
26,0.8769850730895996,0.7427007328811839,0.7392304817320314,0.741368642136473,0.6477624536929962,0.7617827404385275,0.7001609585586533
27,0.8729009628295898,0.7495252923305258,0.7430103811841531,0.7450652275799147,0.6519446113843474,0.7609333619640685,0.7022353158770841
