Epoch,Loss,Train AUC,Validation AUC,Test AUC,Precision,Recall,F1 Score
1,0.965109646320343,0.5007106161478646,0.5051572736182939,0.5034814253102999,0.5042782875068114,0.5690236809306191,0.5346981479746401
2,0.962029218673706,0.5083376461105167,0.5120952777399822,0.5105115072249369,0.5076261189369232,0.607843788948899,0.5532330031006579
3,0.9597742557525635,0.5163112270063384,0.5213119410674879,0.5193667020575814,0.5123065178477414,0.6468300789364354,0.571762234577785
4,0.9577747583389282,0.5268502540187415,0.5319457981119193,0.5293985650455747,0.5157198295056937,0.6735853759867054,0.584175254017439
5,0.956095278263092,0.5374646873220502,0.5426774132831328,0.5392332028493099,0.5210141014854904,0.689522226838388,0.593539896432352
6,0.9544847011566162,0.5478358188805968,0.5525954412353091,0.5481398392047515,0.5261008231749593,0.6935438304943914,0.5983283393786469
7,0.9527161717414856,0.5574906445720836,0.5616206935168792,0.5563724179854733,0.5311320395012773,0.6944744495222268,0.6019185343089244
8,0.9503706097602844,0.568957325459994,0.5700880205703791,0.5643521206629923,0.5360811488371495,0.6929455754050685,0.6045028196987489
9,0.9478092789649963,0.579010919159537,0.5781598430910725,0.5721134481805429,0.5404195695325575,0.6922309929372663,0.6069768458478442
10,0.9451102018356323,0.5885353385201446,0.5859862868092798,0.5797076440258736,0.5444108444933171,0.6911009555463232,0.6090477724729797
11,0.9418078064918518,0.5992196388312521,0.5935556864085427,0.587140894037949,0.5479099593603209,0.6900706273369339,0.610827945838206
12,0.938420295715332,0.6090595926502743,0.6008315845296791,0.5943165125935846,0.551703074165062,0.6904196094723722,0.6133156185414821
13,0.9345813393592834,0.6198427869756998,0.6077884154342085,0.6011729809911613,0.5553303012923964,0.6919318653926049,0.6161507043920919
14,0.9306606650352478,0.630020227399253,0.6144361067985983,0.6077143121269337,0.5591505894962486,0.6935604486913169,0.6191447539220413
15,0.9263267517089844,0.6408107466112181,0.6207502338169152,0.6139288056045676,0.5625614304371828,0.6943415039468218,0.6215432218139625
16,0.922072172164917,0.6506531029921027,0.6267329887434527,0.6198171978799839,0.5657800435423456,0.6953053593685086,0.6238909681940862
17,0.9179766178131104,0.6595423663666622,0.6323514618018067,0.6253422153797089,0.569064601589566,0.6960697964270877,0.6261922559425923
18,0.9136524200439453,0.6688730132347689,0.6375908318957332,0.6305084953895725,0.5727219266694931,0.6959368508516826,0.6283459368623214
